"filename", "language", "C#", "comment", "blank", "total"
"/Users/dasontiovino/Documents/University/PemogramanBerorientasiObjek/UAS/hotel-backend/Utilities/UploadUtilities.cs", "C#", 5, 0, 2, 7
"Total", "-", 5, 0, 2, 7
